HRR #,HRR Name,State,"Total, Age, sex & race-adjusted","Total, Price, age, sex & race-adjusted","Hospital & skilled nursing facility, Age, sex & race-adjusted","Hospital & skilled nursing facility, Price, age, sex & race-adjusted","Physician, Age, sex & race-adjusted","Physician, Price, age, sex & race-adjusted","Outpatient facility, Age, sex & race-adjusted","Outpatient facility, Price, age, sex & race-adjusted","Home health agency, Age, sex & race-adjusted","Home health agency, Price, age, sex & race-adjusted","Hospice, Age, sex & race-adjusted","Hospice, Price, age, sex & race-adjusted","Durable medical equipment, Age, sex & race-adjusted","Durable medical equipment, Price, age, sex & race-adjusted"
1,Birmingham,AL,"232,401 ","9,022 ","10,449 ","3,594 ","4,522 ","2,664 ","2,805 ","1,381 ","1,568 ",575 ,662 ,600 ,702 ,230 ,220 
2,Dothan,AL,"48,971 ","8,943 ","10,469 ","3,465 ","4,441 ","2,701 ","2,857 ","1,333 ","1,544 ",611 ,713 ,628 ,736 ,238 ,215 
5,Huntsville,AL,"73,875 ","8,877 ","10,089 ","3,401 ","4,211 ","2,930 ","3,079 ","1,337 ","1,477 ",506 ,576 ,462 ,537 ,246 ,225 
6,Mobile,AL,"77,444 ","8,664 ","10,139 ","3,283 ","4,253 ","2,670 ","2,824 ","1,342 ","1,539 ",572 ,661 ,573 ,670 ,247 ,223 
7,Montgomery,AL,"44,278 ","8,422 ","9,769 ","3,303 ","4,098 ","2,366 ","2,536 ","1,607 ","1,842 ",452 ,528 ,455 ,542 ,251 ,228 
9,Tuscaloosa,AL,"28,970 ","9,140 ","10,281 ","3,722 ","4,506 ","2,574 ","2,719 ","1,528 ","1,666 ",642 ,705 ,477 ,504 ,206 ,183 
10,Anchorage,AK,"59,648 ","8,849 ","7,134 ","4,076 ","3,091 ","2,486 ","2,086 ","1,681 ","1,421 ",206 ,177 ,186 ,172 ,123 ,109 
11,Mesa,AZ,"88,368 ","9,803 ","9,827 ","3,731 ","3,824 ","3,681 ","3,674 ","1,226 ","1,190 ",439 ,425 ,519 ,495 ,186 ,200 
12,Phoenix,AZ,"276,009 ","9,311 ","9,125 ","3,719 ","3,607 ","3,269 ","3,258 ","1,277 ","1,240 ",339 ,327 ,507 ,494 ,196 ,194 
14,Sun City,AZ,"45,489 ","9,409 ","9,461 ","3,287 ","3,446 ","3,866 ","3,827 ","1,316 ","1,273 ",352 ,341 ,385 ,362 ,180 ,195 
15,Tucson,AZ,"104,753 ","8,124 ","8,299 ","3,193 ","3,306 ","2,894 ","2,883 ","1,247 ","1,283 ",283 ,292 ,326 ,348 ,154 ,164 
16,Fort Smith,AR,"41,613 ","9,331 ","10,595 ","4,205 ","5,043 ","2,187 ","2,288 ","1,507 ","1,710 ",833 ,946 ,382 ,413 ,249 ,232 
18,Jonesboro,AR,"28,690 ","9,388 ","10,902 ","4,589 ","5,731 ","2,139 ","2,230 ","1,736 ","1,961 ",425 ,486 ,237 ,262 ,269 ,250 
19,Little Rock,AR,"192,611 ","8,644 ","9,779 ","3,821 ","4,611 ","2,373 ","2,485 ","1,475 ","1,641 ",389 ,436 ,354 ,378 ,231 ,229 
21,Springdale,AR,"49,418 ","8,153 ","8,912 ","3,483 ","4,047 ","2,414 ","2,515 ","1,281 ","1,380 ",427 ,461 ,278 ,260 ,266 ,247 
22,Texarkana,AR,"30,878 ","9,586 ","11,041 ","4,288 ","5,308 ","2,322 ","2,410 ","1,229 ","1,386 ",922 ,"1,040 ",588 ,688 ,266 ,245 
23,Orange County,CA,"173,002 ","11,309 ","10,082 ","4,622 ","4,025 ","3,872 ","3,594 ","1,527 ","1,308 ",666 ,571 ,438 ,384 ,168 ,176 
25,Bakersfield,CA,"68,787 ","10,622 ","9,349 ","4,850 ","4,018 ","3,260 ","3,104 ","1,585 ","1,342 ",365 ,309 ,322 ,310 ,241 ,263 
31,Chico,CA,"47,610 ","9,636 ","8,455 ","4,662 ","4,011 ","2,220 ","2,101 ","1,959 ","1,635 ",366 ,313 ,176 ,158 ,254 ,235 
33,Contra Costa County,CA,"64,090 ","10,721 ","8,473 ","4,691 ","3,549 ","3,300 ","2,913 ","1,527 ","1,109 ",570 ,413 ,482 ,336 ,144 ,145 
43,Fresno,CA,"79,356 ","9,935 ","8,827 ","4,342 ","3,644 ","3,375 ","3,246 ","1,419 ","1,199 ",345 ,292 ,268 ,252 ,197 ,201 
56,Los Angeles,CA,"403,581 ","12,969 ","11,333 ","5,979 ","5,015 ","3,887 ","3,639 ","1,517 ","1,298 ",973 ,830 ,390 ,335 ,187 ,191 
58,Modesto,CA,"69,087 ","10,208 ","8,630 ","4,872 ","3,838 ","2,743 ","2,605 ","1,690 ","1,403 ",392 ,335 ,292 ,240 ,222 ,203 
62,Napa,CA,"36,895 ","9,838 ","7,785 ","4,651 ","3,335 ","2,294 ","2,123 ","2,128 ","1,685 ",318 ,261 ,272 ,212 ,166 ,153 
65,Alameda County,CA,"80,193 ","11,140 ","8,676 ","5,264 ","3,883 ","2,974 ","2,654 ","1,661 ","1,213 ",627 ,458 ,457 ,325 ,133 ,139 
69,Palm Springs/Rancho Mirage,CA,"38,715 ","10,238 ","9,154 ","3,685 ","3,221 ","3,239 ","3,081 ","2,328 ","1,964 ",407 ,343 ,434 ,390 ,131 ,143 
73,Redding,CA,"55,725 ","9,290 ","7,815 ","4,355 ","3,442 ","2,441 ","2,311 ","1,639 ","1,328 ",386 ,319 ,253 ,210 ,206 ,188 
77,Sacramento,CA,"187,296 ","9,600 ","7,876 ","4,467 ","3,400 ","2,548 ","2,423 ","1,616 ","1,253 ",457 ,355 ,358 ,279 ,155 ,161 
78,Salinas,CA,"42,436 ","9,282 ","7,584 ","4,270 ","3,320 ","2,555 ","2,402 ","1,447 ","1,081 ",545 ,408 ,302 ,230 ,157 ,141 
79,San Bernardino,CA,"90,540 ","11,141 ","9,588 ","5,584 ","4,481 ","2,913 ","2,784 ","1,367 ","1,160 ",580 ,491 ,533 ,492 ,184 ,198 
80,San Diego,CA,"196,076 ","9,998 ","8,900 ","4,393 ","3,750 ","3,019 ","2,902 ","1,456 ","1,240 ",565 ,480 ,408 ,361 ,155 ,163 
81,San Francisco,CA,"98,871 ","10,391 ","7,793 ","4,831 ","3,334 ","2,538 ","2,240 ","1,899 ","1,378 ",597 ,434 ,393 ,286 ,118 ,120 
82,San Jose,CA,"84,912 ","10,802 ","8,228 ","4,757 ","3,405 ","3,097 ","2,675 ","1,778 ","1,261 ",584 ,418 ,441 ,309 ,142 ,150 
83,San Luis Obispo,CA,"36,104 ","8,481 ","7,487 ","3,074 ","2,624 ","3,021 ","2,842 ","1,223 ","1,020 ",602 ,506 ,360 ,308 ,185 ,171 
85,San Mateo County,CA,"54,018 ","9,763 ","7,405 ","3,923 ","2,799 ","2,799 ","2,401 ","1,865 ","1,326 ",556 ,398 ,503 ,358 ,110 ,117 
86,Santa Barbara,CA,"48,879 ","8,816 ","7,808 ","3,469 ","2,971 ","3,208 ","3,011 ","1,249 ","1,054 ",408 ,345 ,297 ,256 ,181 ,166 
87,Santa Cruz,CA,"30,585 ","9,548 ","7,382 ","4,197 ","2,952 ","2,818 ","2,609 ","1,343 ",940 ,527 ,371 ,482 ,333 ,186 ,164 
89,Santa Rosa,CA,"41,489 ","9,767 ","7,624 ","4,183 ","2,972 ","2,651 ","2,492 ","1,879 ","1,361 ",486 ,354 ,396 ,289 ,172 ,153 
91,Stockton,CA,"37,404 ","10,391 ","8,597 ","5,253 ","4,037 ","2,609 ","2,468 ","1,621 ","1,318 ",479 ,392 ,283 ,231 ,143 ,150 
96,Ventura,CA,"71,724 ","10,905 ","9,773 ","4,356 ","3,919 ","4,001 ","3,657 ","1,234 ","1,047 ",706 ,598 ,439 ,368 ,152 ,164 
101,Boulder,CO,"20,589 ","8,311 ","8,609 ","3,150 ","3,533 ","2,746 ","2,686 ","1,258 ","1,261 ",476 ,472 ,434 ,435 ,230 ,216 
102,Colorado Springs,CO,"71,923 ","8,226 ","8,493 ","3,386 ","3,654 ","2,393 ","2,326 ","1,398 ","1,420 ",443 ,446 ,343 ,351 ,257 ,295 
103,Denver,CO,"156,142 ","9,310 ","9,268 ","3,978 ","3,953 ","2,673 ","2,640 ","1,658 ","1,661 ",443 ,436 ,334 ,325 ,216 ,245 
104,Fort Collins,CO,"34,594 ","8,529 ","8,453 ","3,919 ","3,886 ","2,216 ","2,173 ","1,622 ","1,630 ",308 ,307 ,190 ,195 ,265 ,253 
105,Grand Junction,CO,"35,033 ","7,405 ","7,275 ","3,036 ","2,945 ","1,689 ","1,643 ","1,643 ","1,661 ",267 ,269 ,534 ,531 ,246 ,236 
106,Greeley,CO,"34,406 ","8,573 ","8,636 ","3,621 ","3,744 ","2,098 ","2,038 ","1,984 ","2,007 ",356 ,355 ,233 ,231 ,284 ,266 
107,Pueblo,CO,"16,943 ","8,498 ","8,730 ","3,568 ","3,814 ","2,394 ","2,350 ","1,353 ","1,375 ",451 ,460 ,351 ,372 ,376 ,358 
109,Bridgeport,CT,"62,385 ","10,988 ","9,460 ","4,928 ","4,040 ","3,094 ","2,950 ","2,029 ","1,691 ",601 ,504 ,237 ,180 ,129 ,136 
110,Hartford,CT,"146,054 ","10,250 ","9,335 ","4,708 ","4,128 ","2,927 ","2,834 ","1,647 ","1,492 ",572 ,520 ,238 ,206 ,175 ,179 
111,New Haven,CT,"142,722 ","11,156 ","9,683 ","5,141 ","4,205 ","2,945 ","2,819 ","1,939 ","1,684 ",714 ,628 ,262 ,200 ,169 ,174 
112,Wilmington,DE,"94,586 ","10,130 ","9,705 ","4,437 ","4,175 ","3,133 ","3,081 ","1,503 ","1,440 ",428 ,410 ,449 ,410 ,189 ,196 
113,Washington,DC,"258,887 ","9,752 ","8,903 ","4,241 ","3,588 ","3,101 ","2,916 ","1,696 ","1,689 ",317 ,313 ,263 ,261 ,156 ,160 
115,Bradenton,FL,"39,678 ","10,129 ","10,544 ","3,780 ","4,213 ","3,977 ","3,902 ","1,141 ","1,173 ",767 ,806 ,297 ,272 ,157 ,175 
116,Clearwater,FL,"52,103 ","10,761 ","11,331 ","4,052 ","4,576 ","3,911 ","3,869 ","1,283 ","1,337 ",932 ,977 ,367 ,343 ,199 ,218 
118,Fort Lauderdale,FL,"270,366 ","11,376 ","11,516 ","3,943 ","4,276 ","4,413 ","4,269 ","1,464 ","1,487 ",890 ,912 ,473 ,386 ,189 ,191 
119,Fort Myers,FL,"192,018 ","9,712 ","9,980 ","3,230 ","3,672 ","4,170 ","4,002 ","1,077 ","1,099 ",612 ,626 ,378 ,345 ,216 ,216 
120,Gainesville,FL,"63,302 ","10,024 ","10,328 ","4,288 ","4,553 ","3,193 ","3,178 ","1,136 ","1,197 ",707 ,748 ,477 ,452 ,235 ,213 
122,Hudson,FL,"45,070 ","10,765 ","11,495 ","4,374 ","5,079 ","4,043 ","4,000 ",960 ,999 ,891 ,933 ,296 ,264 ,188 ,210 
123,Jacksonville,FL,"159,629 ","10,619 ","11,144 ","4,221 ","4,599 ","3,532 ","3,569 ","1,472 ","1,554 ",674 ,709 ,518 ,496 ,212 ,225 
124,Lakeland,FL,"29,141 ","10,231 ","11,033 ","4,164 ","4,831 ","3,499 ","3,469 ","1,115 ","1,194 ",832 ,890 ,421 ,426 ,190 ,212 
127,Miami,FL,"145,033 ","13,455 ","13,109 ","5,351 ","5,192 ","3,840 ","3,702 ","1,530 ","1,556 ","1,574 ","1,594 ",675 ,569 ,206 ,212 
129,Ocala,FL,"104,695 ","9,555 ","10,237 ","3,345 ","3,993 ","3,956 ","3,916 ","1,049 ","1,118 ",579 ,616 ,387 ,367 ,208 ,208 
130,Orlando,FL,"354,310 ","10,365 ","11,018 ","4,012 ","4,601 ","3,621 ","3,591 ","1,309 ","1,373 ",744 ,781 ,461 ,441 ,212 ,226 
131,Ormond Beach,FL,"52,061 ","9,506 ","10,044 ","3,371 ","3,773 ","3,208 ","3,210 ","1,429 ","1,533 ",723 ,774 ,612 ,589 ,164 ,171 
133,Panama City,FL,"27,363 ","10,331 ","11,393 ","4,191 ","5,122 ","3,554 ","3,539 ","1,239 ","1,343 ",565 ,613 ,463 ,498 ,314 ,287 
134,Pensacola,FL,"93,551 ","9,457 ","10,449 ","3,547 ","4,314 ","2,908 ","2,903 ","1,658 ","1,810 ",650 ,717 ,441 ,486 ,255 ,232 
137,Sarasota,FL,"90,707 ","9,219 ","9,645 ","3,065 ","3,490 ","3,885 ","3,847 ","1,189 ","1,217 ",666 ,685 ,249 ,235 ,159 ,172 
139,St. Petersburg,FL,"37,395 ","11,055 ","11,663 ","4,641 ","5,171 ","3,808 ","3,798 ","1,226 ","1,279 ",893 ,934 ,302 ,276 ,181 ,199 
140,Tallahassee,FL,"62,676 ","8,861 ","9,944 ","3,652 ","4,417 ","2,644 ","2,691 ","1,452 ","1,631 ",442 ,493 ,434 ,493 ,246 ,223 
141,Tampa,FL,"90,046 ","11,194 ","11,766 ","4,557 ","5,038 ","3,702 ","3,691 ","1,231 ","1,290 ","1,050 ","1,107 ",436 ,404 ,201 ,218 
142,Albany,GA,"17,980 ","7,956 ","8,905 ","3,162 ","3,767 ","2,200 ","2,295 ","1,593 ","1,770 ",312 ,342 ,441 ,496 ,263 ,239 
144,Atlanta,GA,"429,107 ","8,817 ","9,377 ","3,310 ","3,739 ","2,840 ","2,874 ","1,464 ","1,525 ",459 ,479 ,570 ,582 ,192 ,197 
145,Augusta,GA,"62,610 ","8,323 ","8,954 ","3,492 ","3,888 ","2,426 ","2,496 ","1,448 ","1,528 ",326 ,350 ,490 ,540 ,161 ,174 
146,Columbus,GA,"29,460 ","8,484 ","9,423 ","3,104 ","3,690 ","2,339 ","2,461 ","1,806 ","1,972 ",418 ,457 ,643 ,673 ,204 ,185 
147,Macon,GA,"63,782 ","9,293 ","10,111 ","3,648 ","4,215 ","3,080 ","3,162 ","1,379 ","1,497 ",408 ,435 ,574 ,617 ,238 ,216 
148,Rome,GA,"29,463 ","9,404 ","10,395 ","3,983 ","4,640 ","2,640 ","2,756 ","1,343 ","1,465 ",668 ,727 ,557 ,619 ,241 ,228 
149,Savannah,GA,"86,381 ","8,701 ","9,381 ","3,413 ","3,785 ","2,841 ","2,988 ","1,416 ","1,530 ",350 ,381 ,494 ,531 ,199 ,180 
150,Honolulu,HI,"89,169 ","7,718 ","7,190 ","3,384 ","2,965 ","2,217 ","2,214 ","1,507 ","1,417 ",151 ,143 ,368 ,359 ,93 ,90 
151,Boise,ID,"68,462 ","7,945 ","8,459 ","3,073 ","3,291 ","1,548 ","1,623 ","2,103 ","2,228 ",471 ,500 ,558 ,620 ,201 ,209 
152,Idaho Falls,ID,"19,726 ","8,541 ","8,967 ","3,201 ","3,290 ","1,847 ","2,007 ","1,875 ","1,986 ",714 ,741 ,528 ,595 ,395 ,375 
154,Aurora,IL,"20,286 ","9,981 ","10,063 ","4,127 ","4,316 ","2,938 ","2,905 ","1,775 ","1,735 ",634 ,616 ,335 ,300 ,164 ,182 
155,Blue Island,IL,"83,674 ","10,499 ","10,433 ","4,705 ","4,800 ","3,036 ","2,962 ","1,497 ","1,454 ",784 ,759 ,291 ,257 ,177 ,191 
156,Chicago,IL,"145,630 ","10,917 ","10,292 ","5,010 ","4,590 ","2,680 ","2,588 ","1,620 ","1,575 ","1,117 ","1,082 ",245 ,216 ,140 ,149 
158,Elgin,IL,"71,993 ","10,429 ","10,586 ","4,454 ","4,761 ","3,130 ","3,062 ","1,611 ","1,570 ",673 ,654 ,414 ,380 ,153 ,168 
161,Evanston,IL,"111,384 ","9,733 ","9,544 ","3,864 ","3,874 ","2,981 ","2,873 ","1,850 ","1,801 ",621 ,604 ,298 ,267 ,133 ,143 
163,Hinsdale,IL,"44,019 ","9,652 ","9,742 ","3,978 ","4,231 ","3,035 ","2,935 ","1,560 ","1,521 ",595 ,579 ,328 ,310 ,150 ,164 
164,Joliet,IL,"66,073 ","10,720 ","10,994 ","4,805 ","5,100 ","2,955 ","2,991 ","1,864 ","1,833 ",603 ,586 ,306 ,287 ,188 ,196 
166,Melrose Park,IL,"117,381 ","9,964 ","9,862 ","4,380 ","4,449 ","2,762 ","2,665 ","1,710 ","1,664 ",677 ,658 ,287 ,267 ,151 ,163 
170,Peoria,IL,"72,112 ","8,592 ","9,202 ","3,915 ","4,240 ","2,215 ","2,358 ","1,606 ","1,716 ",350 ,369 ,287 ,318 ,223 ,204 
171,Rockford,IL,"76,420 ","8,970 ","9,449 ","3,929 ","4,251 ","2,110 ","2,215 ","2,016 ","2,064 ",372 ,369 ,346 ,365 ,201 ,188 
172,Springfield,IL,"102,344 ","8,972 ","9,774 ","4,123 ","4,558 ","2,303 ","2,504 ","1,885 ","2,025 ",310 ,330 ,134 ,151 ,238 ,224 
173,Urbana,IL,"36,908 ","9,220 ","9,838 ","4,246 ","4,566 ","2,053 ","2,218 ","2,250 ","2,366 ",260 ,276 ,193 ,211 ,231 ,212 
175,Bloomington,IL,"16,233 ","8,157 ","8,640 ","3,318 ","3,650 ","2,777 ","2,857 ","1,256 ","1,319 ",325 ,330 ,245 ,270 ,224 ,203 
179,Evansville,IN,"84,359 ","9,296 ","10,422 ","4,465 ","5,272 ","2,112 ","2,239 ","1,930 ","2,091 ",337 ,365 ,245 ,266 ,217 ,200 
180,Fort Wayne,IN,"67,961 ","8,823 ","9,356 ","4,100 ","4,407 ","2,150 ","2,265 ","1,750 ","1,840 ",273 ,288 ,350 ,370 ,204 ,188 
181,Gary,IN,"57,101 ","10,687 ","11,274 ","4,991 ","5,473 ","2,832 ","2,893 ","1,804 ","1,832 ",600 ,609 ,266 ,257 ,188 ,202 
183,Indianapolis,IN,"273,511 ","9,393 ","9,641 ","4,338 ","4,513 ","2,151 ","2,181 ","1,907 ","1,932 ",436 ,438 ,360 ,372 ,205 ,208 
184,Lafayette,IN,"22,354 ","9,251 ","9,790 ","4,287 ","4,727 ","2,338 ","2,387 ","1,650 ","1,679 ",302 ,308 ,439 ,464 ,234 ,221 
