HRR #,HRR Name,State,"Total, Age, sex & race-adjusted","Total, Price, age, sex & race-adjusted","Hospital & skilled nursing facility, Age, sex & race-adjusted","Hospital & skilled nursing facility, Price, age, sex & race-adjusted","Physician, Age, sex & race-adjusted","Physician, Price, age, sex & race-adjusted","Outpatient facility, Age, sex & race-adjusted","Outpatient facility, Price, age, sex & race-adjusted","Home health agency, Age, sex & race-adjusted","Home health agency, Price, age, sex & race-adjusted","Hospice, Age, sex & race-adjusted","Hospice, Price, age, sex & race-adjusted","Durable medical equipment, Age, sex & race-adjusted","Durable medical equipment, Price, age, sex & race-adjusted"
320,Winston-Salem,NC,"87,571 ","9,183 ","9,917 ","3,947 ","4,275 ","2,276 ","2,504 ","1,790 ","1,931 ",514 ,560 ,394 ,400 ,262 ,246 
321,Bismarck,ND,"26,686 ","8,036 ","8,247 ","3,412 ","3,625 ","2,034 ","2,076 ","2,300 ","2,259 ",96 ,95 ,55 ,64 ,174 ,161 
322,Fargo/Moorhead MN,ND,"45,685 ","8,133 ","8,434 ","3,419 ","3,522 ","1,580 ","1,688 ","2,612 ","2,676 ",168 ,171 ,189 ,220 ,198 ,186 
323,Grand Forks,ND,"15,707 ","8,916 ","9,095 ","3,963 ","3,960 ","1,562 ","1,678 ","2,974 ","3,039 ",106 ,108 ,83 ,99 ,269 ,251 
324,Minot,ND,"15,314 ","7,905 ","8,135 ","3,456 ","3,666 ","1,369 ","1,439 ","2,818 ","2,769 ",88 ,87 ,57 ,64 ,138 ,130 
325,Akron,OH,"40,982 ","9,273 ","9,874 ","4,448 ","4,681 ","2,149 ","2,319 ","1,691 ","1,818 ",430 ,462 ,390 ,409 ,157 ,176 
326,Canton,OH,"45,695 ","8,787 ","9,519 ","3,969 ","4,409 ","2,420 ","2,554 ","1,489 ","1,612 ",321 ,347 ,390 ,412 ,193 ,178 
327,Cincinnati,OH,"117,553 ","9,529 ","9,935 ","4,286 ","4,532 ","2,443 ","2,525 ","1,635 ","1,692 ",572 ,592 ,445 ,429 ,148 ,164 
328,Cleveland,OH,"167,880 ","9,321 ","9,842 ","4,188 ","4,457 ","2,164 ","2,291 ","1,929 ","2,012 ",457 ,478 ,421 ,427 ,154 ,170 
329,Columbus,OH,"210,336 ","9,685 ","10,063 ","4,462 ","4,557 ","2,242 ","2,379 ","1,847 ","1,951 ",523 ,549 ,421 ,436 ,199 ,198 
330,Dayton,OH,"87,604 ","9,297 ","9,927 ","4,188 ","4,512 ","2,397 ","2,574 ","1,602 ","1,691 ",552 ,584 ,359 ,362 ,201 ,204 
331,Elyria,OH,"23,513 ","10,016 ","10,714 ","4,651 ","5,060 ","2,163 ","2,329 ","2,175 ","2,257 ",399 ,415 ,439 ,436 ,195 ,220 
332,Kettering,OH,"32,440 ","9,703 ","10,127 ","4,105 ","4,313 ","2,639 ","2,745 ","1,596 ","1,673 ",756 ,797 ,452 ,423 ,155 ,178 
334,Toledo,OH,"83,616 ","9,636 ","10,121 ","4,454 ","4,673 ","2,337 ","2,487 ","1,837 ","1,932 ",443 ,464 ,392 ,385 ,176 ,182 
335,Youngstown,OH,"51,257 ","9,711 ","10,641 ","4,623 ","5,152 ","2,629 ","2,817 ","1,575 ","1,705 ",400 ,434 ,290 ,322 ,196 ,210 
336,Lawton,OK,"23,569 ","9,218 ","10,162 ","3,957 ","4,472 ","1,925 ","2,011 ","1,888 ","2,091 ",888 ,979 ,345 ,410 ,213 ,196 
339,Oklahoma City,OK,"202,442 ","9,727 ","10,518 ","4,068 ","4,488 ","2,244 ","2,332 ","1,809 ","1,951 ",906 ,981 ,501 ,564 ,219 ,224 
340,Tulsa,OK,"142,509 ","9,019 ","10,137 ","3,791 ","4,452 ","2,306 ","2,407 ","1,464 ","1,636 ",799 ,889 ,494 ,584 ,197 ,202 
341,Bend,OR,"30,693 ","8,072 ","7,558 ","3,188 ","2,901 ","2,433 ","2,398 ","1,462 ","1,346 ",244 ,221 ,526 ,485 ,201 ,185 
342,Eugene,OR,"68,075 ","8,006 ","7,444 ","3,495 ","3,084 ","2,136 ","2,117 ","1,577 ","1,483 ",276 ,257 ,297 ,289 ,208 ,192 
343,Medford,OR,"61,608 ","7,818 ","7,571 ","3,270 ","3,117 ","2,162 ","2,178 ","1,535 ","1,452 ",391 ,374 ,229 ,233 ,212 ,197 
344,Portland,OR,"155,832 ","8,325 ","7,731 ","3,633 ","3,228 ","1,924 ","1,910 ","1,857 ","1,728 ",372 ,342 ,372 ,348 ,167 ,171 
345,Salem,OR,"16,412 ","8,278 ","7,848 ","3,549 ","3,321 ","2,369 ","2,340 ","1,436 ","1,326 ",359 ,331 ,347 ,330 ,210 ,191 
346,Allentown,PA,"135,569 ","9,907 ","10,013 ","4,432 ","4,581 ","2,741 ","2,774 ","1,871 ","1,783 ",435 ,426 ,274 ,283 ,165 ,175 
347,Altoona,PA,"24,347 ","10,147 ","10,757 ","4,710 ","5,063 ","2,455 ","2,537 ","1,953 ","2,074 ",524 ,552 ,324 ,358 ,194 ,182 
350,Danville,PA,"49,474 ","9,227 ","9,547 ","4,394 ","4,495 ","2,063 ","2,143 ","2,054 ","2,161 ",339 ,364 ,191 ,210 ,213 ,199 
351,Erie,PA,"67,751 ","8,966 ","9,722 ","4,154 ","4,588 ","2,223 ","2,313 ","1,812 ","1,995 ",373 ,406 ,192 ,222 ,231 ,216 
352,Harrisburg,PA,"95,444 ","9,364 ","9,450 ","4,253 ","4,260 ","2,523 ","2,571 ","1,796 ","1,816 ",317 ,317 ,299 ,321 ,186 ,172 
354,Johnstown,PA,"13,384 ","10,398 ","10,908 ","5,063 ","5,269 ","2,355 ","2,428 ","1,891 ","2,044 ",529 ,571 ,350 ,393 ,221 ,209 
355,Lancaster,PA,"63,045 ","8,662 ","8,816 ","3,646 ","3,806 ","2,564 ","2,566 ","1,685 ","1,691 ",316 ,317 ,291 ,283 ,180 ,172 
356,Philadelphia,PA,"342,874 ","11,103 ","10,386 ","4,887 ","4,455 ","3,403 ","3,256 ","1,726 ","1,629 ",559 ,533 ,356 ,331 ,180 ,190 
357,Pittsburgh,PA,"169,538 ","9,935 ","10,683 ","4,771 ","5,157 ","2,275 ","2,388 ","1,787 ","1,935 ",541 ,586 ,372 ,407 ,181 ,198 
358,Reading,PA,"57,380 ","9,997 ","10,252 ","4,661 ","4,790 ","2,750 ","2,787 ","1,777 ","1,846 ",396 ,414 ,239 ,252 ,191 ,178 
359,Sayre,PA,"22,719 ","8,532 ","9,307 ","4,101 ","4,563 ","1,943 ","2,046 ","1,818 ","1,994 ",300 ,325 ,159 ,178 ,217 ,206 
360,Scranton,PA,"41,274 ","9,567 ","10,313 ","4,440 ","4,936 ","2,709 ","2,766 ","1,404 ","1,520 ",536 ,593 ,295 ,309 ,187 ,194 
362,Wilkes-Barre,PA,"30,267 ","10,058 ","10,945 ","4,830 ","5,379 ","2,556 ","2,622 ","1,640 ","1,800 ",640 ,709 ,243 ,262 ,163 ,182 
363,York,PA,"43,142 ","9,714 ","9,706 ","4,620 ","4,574 ","2,633 ","2,665 ","1,689 ","1,695 ",341 ,341 ,253 ,264 ,191 ,176 
364,Providence,RI,"101,136 ","10,250 ","9,258 ","4,772 ","4,145 ","2,587 ","2,656 ","1,779 ","1,473 ",625 ,519 ,350 ,318 ,140 ,147 
365,Charleston,SC,"138,753 ","8,814 ","9,570 ","3,344 ","3,813 ","2,997 ","3,130 ","1,356 ","1,447 ",403 ,429 ,545 ,591 ,191 ,188 
366,Columbia,SC,"131,062 ","8,546 ","9,302 ","3,427 ","3,860 ","2,739 ","2,863 ","1,314 ","1,423 ",387 ,420 ,506 ,562 ,205 ,206 
367,Florence,SC,"45,131 ","9,038 ","10,078 ","3,918 ","4,585 ","2,359 ","2,521 ","1,597 ","1,736 ",300 ,325 ,681 ,758 ,229 ,206 
368,Greenville,SC,"97,276 ","8,825 ","9,435 ","3,619 ","3,944 ","2,387 ","2,538 ","1,660 ","1,749 ",369 ,388 ,590 ,610 ,204 ,212 
369,Spartanburg,SC,"39,036 ","8,670 ","9,525 ","3,637 ","4,061 ","2,243 ","2,478 ","1,541 ","1,673 ",422 ,454 ,604 ,661 ,232 ,208 
370,Rapid City,SD,"27,308 ","7,890 ","7,782 ","3,766 ","3,642 ","1,792 ","1,835 ","1,843 ","1,822 ",137 ,134 ,99 ,108 ,207 ,193 
371,Sioux Falls,SD,"93,265 ","8,271 ","8,481 ","3,545 ","3,632 ","1,566 ","1,678 ","2,674 ","2,675 ",126 ,126 ,170 ,192 ,226 ,212 
373,Chattanooga,TN,"69,735 ","9,236 ","10,250 ","3,791 ","4,459 ","2,782 ","2,911 ","1,382 ","1,497 ",582 ,635 ,468 ,511 ,235 ,247 
374,Jackson,TN,"43,972 ","9,297 ","10,663 ","4,085 ","4,976 ","2,410 ","2,545 ","1,620 ","1,845 ",643 ,744 ,249 ,289 ,288 ,263 
375,Johnson City,TN,"25,530 ","8,578 ","9,768 ","3,807 ","4,542 ","2,227 ","2,373 ","1,432 ","1,641 ",485 ,560 ,340 ,392 ,291 ,272 
376,Kingsport,TN,"45,857 ","8,706 ","10,042 ","3,803 ","4,639 ","2,246 ","2,429 ","1,450 ","1,673 ",671 ,773 ,239 ,264 ,307 ,286 
377,Knoxville,TN,"128,332 ","8,582 ","10,018 ","3,372 ","4,302 ","2,594 ","2,730 ","1,435 ","1,667 ",615 ,713 ,303 ,359 ,257 ,256 
379,Memphis,TN,"168,091 ","9,341 ","10,212 ","4,139 ","4,674 ","2,517 ","2,649 ","1,535 ","1,658 ",503 ,555 ,408 ,435 ,241 ,241 
380,Nashville,TN,"243,933 ","9,153 ","10,234 ","3,954 ","4,684 ","2,671 ","2,826 ","1,339 ","1,457 ",649 ,709 ,316 ,347 ,229 ,224 
382,Abilene,TX,"35,892 ","9,825 ","10,849 ","4,215 ","4,867 ","2,185 ","2,268 ","1,775 ","1,957 ",989 ,"1,069 ",437 ,488 ,239 ,220 
383,Amarillo,TX,"44,096 ","9,368 ","10,169 ","4,025 ","4,502 ","2,543 ","2,612 ","1,363 ","1,505 ",742 ,817 ,451 ,507 ,245 ,230 
385,Austin,TX,"123,773 ","10,077 ","10,542 ","4,019 ","4,385 ","3,184 ","3,183 ","1,333 ","1,373 ",848 ,873 ,527 ,556 ,181 ,194 
386,Beaumont,TX,"40,440 ","11,017 ","11,721 ","4,408 ","4,798 ","2,851 ","2,945 ","1,616 ","1,717 ","1,134 ","1,191 ",841 ,891 ,170 ,179 
388,Bryan,TX,"20,867 ","9,888 ","10,420 ","4,076 ","4,440 ","2,494 ","2,535 ","1,791 ","1,871 ",870 ,912 ,469 ,492 ,191 ,173 
390,Corpus Christi,TX,"36,697 ","10,842 ","11,581 ","4,418 ","4,800 ","2,953 ","3,056 ","1,345 ","1,435 ","1,248 ","1,331 ",667 ,771 ,195 ,175 
391,Dallas,TX,"337,088 ","11,026 ","11,494 ","4,604 ","4,967 ","3,159 ","3,169 ","1,377 ","1,420 ","1,139 ","1,172 ",573 ,587 ,203 ,210 
393,El Paso,TX,"65,861 ","8,587 ","9,191 ","3,618 ","3,923 ","2,369 ","2,441 ","1,189 ","1,291 ",842 ,925 ,341 ,374 ,208 ,212 
394,Fort Worth,TX,"135,737 ","11,126 ","11,662 ","4,779 ","5,234 ","3,243 ","3,235 ","1,319 ","1,361 ","1,017 ","1,041 ",604 ,619 ,195 ,208 
396,Harlingen,TX,"32,355 ","10,665 ","11,742 ","4,651 ","5,251 ","2,791 ","2,919 ","1,299 ","1,448 ","1,158 ","1,288 ",434 ,508 ,215 ,193 
397,Houston,TX,"376,280 ","11,398 ","11,514 ","5,107 ","5,176 ","3,055 ","3,054 ","1,621 ","1,650 ","1,017 ","1,024 ",424 ,430 ,180 ,187 
399,Longview,TX,"21,588 ","10,516 ","11,588 ","4,461 ","5,182 ","2,631 ","2,704 ","1,520 ","1,666 ","1,137 ","1,233 ",513 ,573 ,258 ,234 
400,Lubbock,TX,"62,331 ","9,955 ","10,572 ","4,300 ","4,610 ","2,114 ","2,178 ","1,905 ","2,035 ",847 ,894 ,573 ,650 ,216 ,203 
402,McAllen,TX,"29,746 ","11,000 ","11,867 ","4,914 ","5,315 ","2,829 ","2,985 ","1,461 ","1,618 ","1,258 ","1,380 ",286 ,307 ,165 ,166 
406,Odessa,TX,"29,119 ","9,151 ","9,473 ","4,314 ","4,452 ","2,092 ","2,181 ","1,405 ","1,474 ",782 ,812 ,379 ,390 ,158 ,145 
411,San Angelo,TX,"18,964 ","9,541 ","10,305 ","3,951 ","4,371 ","2,171 ","2,231 ","1,900 ","2,049 ",871 ,945 ,444 ,521 ,208 ,194 
412,San Antonio,TX,"203,135 ","9,672 ","10,287 ","4,018 ","4,360 ","3,022 ","3,096 ","1,159 ","1,245 ",781 ,836 ,522 ,579 ,173 ,177 
413,Temple,TX,"33,274 ","10,301 ","10,715 ","4,485 ","4,684 ","2,052 ","2,120 ","2,291 ","2,371 ",776 ,808 ,526 ,581 ,197 ,184 
416,Tyler,TX,"66,725 ","10,552 ","11,560 ","4,137 ","4,838 ","2,760 ","2,822 ","1,892 ","2,051 ",914 ,971 ,591 ,649 ,271 ,247 
417,Victoria,TX,"17,722 ","10,807 ","11,836 ","5,081 ","5,825 ","2,541 ","2,588 ","1,904 ","2,068 ",748 ,793 ,333 ,382 ,199 ,179 
418,Waco,TX,"30,931 ","9,187 ","9,993 ","3,818 ","4,337 ","2,146 ","2,196 ","1,764 ","1,905 ",690 ,737 ,552 ,620 ,213 ,193 
420,Wichita Falls,TX,"23,885 ","11,215 ","11,626 ","4,878 ","5,162 ","2,604 ","2,657 ","1,601 ","1,669 ","1,317 ","1,351 ",597 ,589 ,226 ,207 
421,Ogden,UT,"29,510 ","8,790 ","9,226 ","3,301 ","3,603 ","2,479 ","2,521 ","1,466 ","1,511 ",595 ,610 ,672 ,731 ,289 ,271 
422,Provo,UT,"28,785 ","8,703 ","9,025 ","3,401 ","3,627 ","2,333 ","2,364 ","1,361 ","1,395 ",758 ,774 ,554 ,596 ,323 ,305 
423,Salt Lake City,UT,"140,300 ","8,579 ","8,691 ","3,537 ","3,538 ","2,051 ","2,075 ","1,681 ","1,715 ",578 ,587 ,476 ,513 ,270 ,279 
424,Burlington,VT,"80,556 ","8,486 ","8,160 ","3,816 ","3,401 ","1,663 ","1,707 ","2,218 ","2,263 ",416 ,425 ,201 ,201 ,184 ,169 
426,Arlington,VA,"165,653 ","8,294 ","8,206 ","3,171 ","3,250 ","2,966 ","2,818 ","1,220 ","1,204 ",434 ,427 ,363 ,353 ,134 ,147 
427,Charlottesville,VA,"75,960 ","8,272 ","8,488 ","3,652 ","3,636 ","1,969 ","2,032 ","1,906 ","2,030 ",299 ,317 ,284 ,321 ,156 ,145 
428,Lynchburg,VA,"37,454 ","8,034 ","8,534 ","3,507 ","3,816 ","2,112 ","2,166 ","1,520 ","1,618 ",392 ,417 ,311 ,342 ,190 ,173 
429,Newport News,VA,"65,173 ","8,151 ","8,698 ","2,954 ","3,284 ","2,646 ","2,739 ","1,745 ","1,813 ",386 ,400 ,248 ,273 ,174 ,186 
430,Norfolk,VA,"124,785 ","8,690 ","9,301 ","3,337 ","3,675 ","2,859 ","2,988 ","1,590 ","1,673 ",452 ,474 ,282 ,307 ,179 ,190 
431,Richmond,VA,"180,281 ","8,693 ","9,211 ","3,768 ","4,114 ","2,664 ","2,755 ","1,373 ","1,418 ",433 ,445 ,295 ,306 ,164 ,176 
432,Roanoke,VA,"89,004 ","8,354 ","8,986 ","3,665 ","4,016 ","2,329 ","2,466 ","1,432 ","1,528 ",475 ,506 ,238 ,268 ,214 ,201 
435,Winchester,VA,"54,204 ","8,366 ","8,784 ","3,722 ","3,929 ","2,202 ","2,302 ","1,591 ","1,675 ",364 ,377 ,305 ,326 ,175 ,168 
437,Everett,WA,"52,698 ","8,297 ","7,834 ","3,512 ","3,254 ","2,096 ","2,084 ","1,899 ","1,749 ",302 ,273 ,306 ,290 ,165 ,164 
438,Olympia,WA,"42,540 ","8,154 ","7,559 ","3,768 ","3,365 ","2,057 ","2,030 ","1,540 ","1,425 ",278 ,258 ,313 ,297 ,191 ,172 
439,Seattle,WA,"237,416 ","8,346 ","7,838 ","3,585 ","3,350 ","2,217 ","2,152 ","1,777 ","1,620 ",339 ,309 ,277 ,253 ,152 ,153 
440,Spokane,WA,"175,059 ","8,550 ","8,230 ","3,668 ","3,436 ","2,172 ","2,189 ","1,882 ","1,820 ",340 ,322 ,266 ,258 ,212 ,194 
441,Tacoma,WA,"66,596 ","8,524 ","8,217 ","3,837 ","3,711 ","2,423 ","2,420 ","1,465 ","1,325 ",316 ,286 ,327 ,301 ,151 ,168 
442,Yakima,WA,"30,495 ","8,290 ","7,947 ","3,714 ","3,495 ","1,876 ","1,930 ","2,003 ","1,873 ",246 ,231 ,221 ,211 ,225 ,203 
443,Charleston,WV,"93,644 ","9,405 ","10,505 ","4,442 ","5,058 ","2,201 ","2,392 ","1,766 ","1,987 ",504 ,572 ,252 ,268 ,246 ,234 
444,Huntington,WV,"39,559 ","9,501 ","10,388 ","4,339 ","4,737 ","2,277 ","2,569 ","1,914 ","2,056 ",515 ,557 ,267 ,246 ,194 ,219 
445,Morgantown,WV,"41,179 ","9,263 ","10,136 ","4,299 ","4,687 ","1,860 ","1,979 ","2,025 ","2,274 ",364 ,408 ,495 ,578 ,234 ,225 
446,Appleton,WI,"18,932 ","7,869 ","8,455 ","3,166 ","3,431 ","2,005 ","2,268 ","1,887 ","1,939 ",210 ,215 ,411 ,429 ,183 ,169 
447,Green Bay,WI,"42,982 ","7,958 ","8,614 ","3,316 ","3,631 ","1,800 ","2,039 ","2,085 ","2,171 ",215 ,224 ,351 ,371 ,193 ,178 
448,La Crosse,WI,"31,914 ","7,840 ","7,810 ","3,541 ","3,327 ","1,275 ","1,374 ","2,632 ","2,715 ",96 ,99 ,181 ,192 ,146 ,132 
449,Madison,WI,"102,609 ","8,135 ","7,988 ","3,679 ","3,449 ","1,601 ","1,755 ","1,948 ","1,908 ",259 ,250 ,491 ,477 ,158 ,146 
450,Marshfield,WI,"35,658 ","8,424 ","8,749 ","3,842 ","3,983 ","2,090 ","2,193 ","1,810 ","1,870 ",186 ,192 ,288 ,317 ,198 ,182 
451,Milwaukee,WI,"207,412 ","9,078 ","9,325 ","3,936 ","4,113 ","2,272 ","2,357 ","1,925 ","1,912 ",389 ,385 ,392 ,384 ,166 ,176 
452,Neenah,WI,"15,089 ","8,027 ","8,652 ","3,266 ","3,471 ","1,886 ","2,244 ","1,932 ","1,965 ",233 ,238 ,509 ,544 ,191 ,176 
456,Wausau,WI,"19,900 ","7,999 ","8,475 ","3,475 ","3,767 ","2,128 ","2,219 ","1,749 ","1,819 ",190 ,198 ,276 ,306 ,170 ,156 
457,Casper,WY,"27,254 ","8,717 ","8,379 ","4,158 ","3,922 ","2,199 ","2,163 ","1,711 ","1,664 ",208 ,199 ,118 ,117 ,297 ,283 
999,United States,US,"26,310,812 ","9,729 ","9,729 ","4,234 ","4,234 ","2,742 ","2,742 ","1,656 ","1,656 ",543 ,543 ,360 ,360 ,194 ,194 
